Small Unit Installation Postcode,Jan 2011 - SGU Rated Output In kW,Feb 2011 - SGU Rated Output In kW,Mar 2011 - SGU Rated Output In kW,Apr 2011 - SGU Rated Output In kW,May 2011 - SGU Rated Output In kW,Jun 2011 - SGU Rated Output In kW,Jul 2011 - SGU Rated Output In kW,Aug 2011 - SGU Rated Output In kW,Sep 2011 - SGU Rated Output In kW,Oct 2011 - SGU Rated Output In kW,Nov 2011 - SGU Rated Output In kW,Dec 2011 - SGU Rated Output In kW,Jan 2012 - SGU Rated Output In kW,Feb 2012 - SGU Rated Output In kW,Mar 2012 - SGU Rated Output In kW,Apr 2012 - SGU Rated Output In kW,May 2012 - SGU Rated Output In kW,Jun 2012 - SGU Rated Output In kW,Jul 2012 - SGU Rated Output In kW,Aug 2012 - SGU Rated Output In kW,Sep 2012 - SGU Rated Output In kW,Oct 2012 - SGU Rated Output In kW,Nov 2012 - SGU Rated Output In kW,Dec 2012 - SGU Rated Output In kW,Jan 2013 - SGU Rated Output In kW,Feb 2013 - SGU Rated Output In kW,Mar 2013 - SGU Rated Output In kW,Apr 2013 - SGU Rated Output In kW,May 2013 - SGU Rated Output In kW,Jun 2013 - SGU Rated Output In kW,Jul 2013 - SGU Rated Output In kW,Aug 2013 - SGU Rated Output In kW,Sep 2013 - SGU Rated Output In kW,Oct 2013 - SGU Rated Output In kW,Nov 2013 - SGU Rated Output In kW,Dec 2013 - SGU Rated Output In kW,Jan 2014 - SGU Rated Output In kW,Feb 2014 - SGU Rated Output In kW,Mar 2014 - SGU Rated Output In kW,Apr 2014 - SGU Rated Output In kW,May 2014 - SGU Rated Output In kW,Jun 2014 - SGU Rated Output In kW,Jul 2014 - SGU Rated Output In kW,Aug 2014 - SGU Rated Output In kW,Sep 2014 - SGU Rated Output In kW,Oct 2014 - SGU Rated Output In kW,Nov 2014 - SGU Rated Output In kW,Dec 2014 - SGU Rated Output In kW,Jan 2015 - SGU Rated Output In kW,Feb 2015 - SGU Rated Output In kW,Mar 2015 - SGU Rated Output In kW,Apr 2015 - SGU Rated Output In kW,May 2015 - SGU Rated Output In kW,Jun 2015 - SGU Rated Output In kW,Jul 2015 - SGU Rated Output In kW,Aug 2015 - SGU Rated Output In kW,Sep 2015 - SGU Rated Output In kW,Oct 2015 - SGU Rated Output In kW,Nov 2015 - SGU Rated Output In kW,Dec 2015 - SGU Rated Output In kW,Jan 2016 - SGU Rated Output In kW,Feb 2016 - SGU Rated Output In kW,Mar 2016 - SGU Rated Output In kW,Apr 2016 - SGU Rated Output In kW,May 2016 - SGU Rated Output In kW,Jun 2016 - SGU Rated Output In kW,Jul 2016 - SGU Rated Output In kW,Aug 2016 - SGU Rated Output In kW,Sep 2016 - SGU Rated Output In kW,Oct 2016 - SGU Rated Output In kW,Nov 2016 - SGU Rated Output In kW,Dec 2016 - SGU Rated Output In kW,Jan 2017 - SGU Rated Output In kW,Feb 2017 - SGU Rated Output In kW,Mar 2017 - SGU Rated Output In kW,Apr 2017 - SGU Rated Output In kW,May 2017 - SGU Rated Output In kW,Jun 2017 - SGU Rated Output In kW,Jul 2017 - SGU Rated Output In kW,Aug 2017 - SGU Rated Output In kW,Sep 2017 - SGU Rated Output In kW,Oct 2017 - SGU Rated Output In kW,Nov 2017 - SGU Rated Output In kW,Dec 2017 - SGU Rated Output In kW,Jan 2018 - SGU Rated Output In kW,Feb 2018 - SGU Rated Output In kW,Mar 2018 - SGU Rated Output In kW,Apr 2018 - SGU Rated Output In kW,May 2018 - SGU Rated Output In kW,Jun 2018 - SGU Rated Output In kW,Jul 2018 - SGU Rated Output In kW,Aug 2018 - SGU Rated Output In kW,Sep 2018 - SGU Rated Output In kW,Oct 2018 - SGU Rated Output In kW,Nov 2018 - SGU Rated Output In kW,Dec 2018 - SGU Rated Output In kW,Jan 2019 - SGU Rated Output In kW,Feb 2019 - SGU Rated Output In kW,Mar 2019 - SGU Rated Output In kW,Apr 2019 - SGU Rated Output In kW,May 2019 - SGU Rated Output In kW,Jun 2019 - SGU Rated Output In kW,Jul 2019 - SGU Rated Output In kW,Aug 2019 - SGU Rated Output In kW,Sep 2019 - SGU Rated Output In kW,Oct 2019 - SGU Rated Output In kW,Nov 2019 - SGU Rated Output In kW,Dec 2019 - SGU Rated Output In kW,Jan 2020 - SGU Rated Output In kW,Feb 2020 - SGU Rated Output In kW,Mar 2020 - SGU Rated Output In kW,Apr 2020 - SGU Rated Output In kW,May 2020 - SGU Rated Output In kW,Jun 2020 - SGU Rated Output In kW,Jul 2020 - SGU Rated Output In kW,Aug 2020 - SGU Rated Output In kW,Sep 2020 - SGU Rated Output In kW,Oct 2020 - SGU Rated Output In kW,Nov 2020 - SGU Rated Output In kW,Dec 2020 - SGU Rated Output In kW,Jan 2021 - SGU Rated Output In kW,Feb 2021 - SGU Rated Output In kW,Mar 2021 - SGU Rated Output In kW,Apr 2021 - SGU Rated Output In kW,May 2021 - SGU Rated Output In kW,Jun 2021 - SGU Rated Output In kW,Jul 2021 - SGU Rated Output In kW,Aug 2021 - SGU Rated Output In kW,Sep 2021 - SGU Rated Output In kW,Oct 2021 - SGU Rated Output In kW,Nov 2021 - SGU Rated Output In kW,Dec 2021 - SGU Rated Output In kW,Jan 2022 - SGU Rated Output In kW,Feb 2022 - SGU Rated Output In kW,Mar 2022 - SGU Rated Output In kW,Apr 2022 - SGU Rated Output In kW,May 2022 - SGU Rated Output In kW,Jun 2022 - SGU Rated Output In kW,Jul 2022 - SGU Rated Output In kW,Aug 2022 - SGU Rated Output In kW,Sep 2022 - SGU Rated Output In kW,Oct 2022 - SGU Rated Output In kW,Nov 2022 - SGU Rated Output In kW,Dec 2022 - SGU Rated Output In kW,Jan 2023 - SGU Rated Output In kW,Feb 2023 - SGU Rated Output In kW,Mar 2023 - SGU Rated Output In kW,Apr 2023 - SGU Rated Output In kW,May 2023 - SGU Rated Output In kW,Jun 2023 - SGU Rated Output In kW,Jul 2023 - SGU Rated Output In kW,Aug 2023 - SGU Rated Output In kW,Sep 2023 - SGU Rated Output In kW,Oct 2023 - SGU Rated Output In kW,Nov 2023 - SGU Rated Output In kW,Dec 2023 - SGU Rated Output In kW,Jan 2024 - SGU Rated Output In kW,Feb 2024 - SGU Rated Output In kW,Mar 2024 - SGU Rated Output In kW,Apr 2024 - SGU Rated Output In kW
3199,63.61,63.49,69.19,91.235,115.609,153.409,62.135,48.578,113.64,16.13,15.2,25.66,53.76,82.32,115.685,151.745,270.575,194.69,144.59,134.46,197.345,67.705,47.36,97.29,31.96,49.825,56.64,66.72,81.94,37.9,56.07,64.859,73.359,93.85,78.555,37.96,78.402,111.685,97.34,84.931,136.78,64.3,155.71,113.1,140.49,103.325,128.16,111.1,82.35,120.345,59.25,47.0,62.85,51.29,65.23,64.32,128.625,104.08,78.165,38.37,91.104,47.31,51.0,59.665,69.61,60.17,62.755,48.75,85.19,67.248,184.187,59.49,42.66,104.62,183.055,81.645,43.8,142.825,107.64,141.18,85.282,86.175,142.685,153.34,93.715,231.455,145.035,138.205,99.785,73.235,128.19,146.087,151.16,228.875,179.07,203.185,210.63,366.773,386.28,301.547,247.05,171.875,54.58,118.23,210.93,315.78,281.275,236.965,322.455,405.37,188.045,149.45,219.16,381.76,293.775,89.93,63.98,331.185,526.915,409.38,318.52,346.79,411.76,394.895,365.235,377.325,332.695,300.93,315.82,381.375,321.045,421.065,166.3,206.11,198.9,351.755,252.745,245.65,355.765,293.78,305.74,258.435,748.595,425.465,398.995,397.05,378.365,197.27,575.065,409.065,268.615,368.325,276.79,342.915,393.16,563.985,186.395,425.245,369.92,70.22
3200,8.89,12.58,6.14,5.98,14.3,10.09,19.62,1.52,10.155,1.5,5.29,8.05,4.94,15.84,23.69,13.44,18.63,8.8,15.425,16.82,19.66,9.8,8.4,8.17,2.4,0.0,4.6,0.0,0.0,4.0,0.0,9.79,17.36,10.0,7.1,1.75,27.15,0.0,0.0,13.0,11.0,4.25,11.0,0.0,8.5,10.5,21.0,7.5,3.5,2.0,9.5,0.0,0.0,2.5,0.0,4.5,3.0,0.0,7.88,16.57,5.0,0.0,0.0,3.0,0.0,3.0,5.0,3.12,10.87,13.64,19.24,0.0,7.28,7.535,6.93,0.0,2.8,7.7,7.195,5.24,0.0,4.86,0.0,15.04,0.0,7.29,12.6,22.37,3.78,5.13,5.13,24.3,18.33,25.51,21.405,0.0,6.6,15.965,21.23,6.6,59.84,10.81,5.13,27.255,13.02,18.24,28.98,22.515,17.07,18.6,10.905,0.0,0.0,14.12,42.975,7.56,13.32,24.655,38.4,12.6,26.535,39.02,25.26,11.9,29.22,16.65,36.63,16.61,0.0,25.16,13.23,13.205,23.755,13.27,5.07,10.58,41.17,11.78,13.68,31.5,19.92,0.0,13.555,12.1,39.01,27.19,6.4,0.0,12.825,11.62,6.64,13.24,30.68,34.405,30.41,10.08,13.2,33.535,15.4,17.16
3201,29.51,20.99,31.3,60.9,50.418,52.179,27.645,19.559,53.28,23.51,12.115,14.41,13.68,50.9,75.12,94.585,121.215,109.41,43.12,26.51,68.04,44.59,27.32,43.7,33.17,26.82,29.41,61.91,35.21,19.75,46.68,29.74,17.0,52.39,77.57,110.79,33.45,66.67,65.02,52.66,40.85,22.41,34.775,50.08,146.9,68.5,67.45,75.3,35.6,62.96,60.78,33.56,20.0,64.1,62.71,77.4,52.44,81.64,29.6,51.44,44.96,54.7,77.8,158.445,23.2,94.395,4.94,65.5,46.38,121.415,78.02,62.06,16.49,68.45,68.295,58.272,92.155,132.11,94.54,113.52,32.067,44.03,181.865,252.895,32.58,226.15,164.24,293.9,70.81,157.79,87.375,254.89,148.865,108.669,166.265,202.1,116.315,149.29,206.0,294.495,273.805,94.255,165.85,233.845,155.738,110.375,184.435,272.05,128.77,255.83,235.42,213.845,255.16,216.145,267.445,34.96,0.0,341.18,364.51,297.135,158.64,165.14,333.495,206.325,289.225,307.765,283.125,271.39,170.82,155.5,212.115,184.89,56.72,119.42,209.415,79.07,195.47,155.06,154.03,53.94,216.185,201.57,192.21,171.105,114.46,173.175,113.65,74.47,147.745,273.415,179.775,124.04,255.655,233.56,300.31,156.64,134.195,160.405,108.39,106.48
3202,1.52,1.52,5.51,3.97,1.61,12.04,0.0,9.495,26.7,1.65,1.14,3.08,3.84,3.04,5.04,0.0,7.08,18.936,5.07,13.325,0.0,6.4,0.0,5.0,1.5,0.0,10.0,0.0,5.0,0.0,5.0,8.61,0.0,0.0,0.0,4.0,0.0,0.0,1.5,6.5,3.0,3.0,0.0,5.0,0.0,0.0,6.0,4.0,2.5,9.64,5.5,7.45,0.0,5.0,4.0,12.68,7.5,20.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,6.0,5.72,0.0,5.1,0.0,0.0,9.6,0.0,5.2,45.12,0.0,3.77,15.39,32.4,0.0,34.83,12.34,0.0,0.0,0.0,33.6,21.31,69.12,0.0,5.94,7.15,35.905,199.98,130.975,17.28,18.6,11.12,2.135,6.05,0.0,9.635,7.785,20.445,15.99,32.34,8.01,0.0,12.9,38.295,42.255,6.6,0.0,19.5,99.55,36.26,0.0,20.33,6.66,15.04,24.46,34.61,33.3,16.46,10.62,13.04,12.9,13.32,0.0,9.99,6.66,42.06,10.985,18.59,99.9,0.0,0.0,10.39,6.63,17.015,51.09,37.03,71.81,6.64,57.555,67.36,6.6,36.25,5.95,108.43,48.97,0.0,36.875,5.72,150.58,22.92,19.8,4.15,6.6
3204,10.24,29.914,46.525,28.06,68.58,82.737,45.005,65.885,20.245,4.0,8.3,8.02,13.7,17.71,15.24,27.08,52.085,85.236,24.275,25.375,45.815,10.84,18.42,23.9,11.6,11.27,17.39,6.07,21.97,28.09,20.1,24.5,29.45,25.0,25.04,34.65,36.37,11.0,46.51,54.105,29.34,46.62,45.0,21.42,41.61,64.67,60.8,57.81,41.22,46.07,67.62,22.25,12.25,25.035,54.88,23.12,16.915,23.0,54.6,22.12,30.63,65.865,42.825,21.35,31.02,7.245,13.865,10.92,31.38,20.685,39.04,20.19,14.62,9.44,32.389,9.05,30.415,86.11,136.685,26.855,22.37,55.38,47.05,55.49,8.25,44.822,35.82,37.275,35.31,32.37,55.925,55.505,29.48,83.59,102.32,109.045,88.255,87.1,158.085,123.52,42.76,79.62,27.355,162.995,96.465,151.29,133.505,174.105,211.04,135.405,154.965,98.55,99.565,77.02,253.665,21.35,13.2,188.43,231.55,154.67,148.145,178.59,186.425,146.3,111.25,182.19,199.54,132.19,100.355,191.958,223.5,152.73,77.46,86.62,156.11,88.72,158.875,92.48,104.185,221.25,165.115,108.465,168.805,293.375,181.26,165.325,181.605,130.415,132.685,201.835,120.15,155.21,172.95,142.085,227.195,221.705,85.3,94.08,93.145,43.17
3205,1.52,2.22,2.88,4.55,1.54,6.42,1.52,5.28,4.6,0.0,1.14,0.0,3.7,1.52,9.88,2.73,14.625,9.8,2.66,0.0,10.72,3.25,0.0,0.0,3.924,7.97,37.0,1.4,0.0,0.0,0.0,0.0,0.0,4.94,3.31,1.5,0.0,0.0,8.25,12.694,2.0,3.0,0.0,0.0,9.2,3.5,0.0,7.2,4.43,0.0,13.25,0.0,8.0,16.38,0.0,0.0,2.0,16.95,0.0,0.0,2.0,9.65,2.12,7.45,3.0,0.0,0.0,0.0,28.68,21.735,72.766,8.32,7.66,1.855,0.0,13.03,14.01,0.0,5.04,8.5,10.56,17.605,10.0,15.974,9.71,33.925,15.03,27.08,0.0,5.025,0.0,9.15,6.54,6.05,11.55,4.34,23.425,120.035,4.4,27.515,26.03,0.0,2.555,5.12,6.6,2.2,30.36,103.32,0.0,49.395,5.415,10.075,80.435,68.93,29.14,0.0,0.0,0.0,5.18,8.4,25.6,2.64,167.695,63.37,27.73,31.345,5.18,28.81,0.0,17.45,19.8,8.41,8.19,1.65,60.03,28.08,43.53,10.16,26.91,36.02,46.6,17.82,37.1,89.7,17.2,82.805,15.16,18.95,11.62,19.74,19.68,64.875,8.88,21.71,26.415,26.735,0.0,14.39,17.94,0.0
3206,6.59,2.98,2.09,3.14,4.68,7.41,0.0,4.215,8.29,5.09,1.44,0.0,0.0,10.7,3.04,5.376,2.0,11.204,1.56,0.0,13.15,2.4,1.0,4.1,6.36,32.175,1.61,5.0,5.0,0.0,0.0,4.5,0.0,4.0,5.135,4.0,14.3,8.43,5.0,10.0,19.235,17.49,26.245,5.71,60.0,12.23,2.0,10.85,7.94,12.65,5.0,3.0,8.96,5.16,5.0,6.24,0.0,3.12,8.3,15.32,7.74,15.305,3.06,11.53,24.24,13.12,0.0,10.0,8.56,12.915,8.025,6.465,9.545,3.24,22.155,13.7,0.0,10.26,39.95,7.38,8.913,43.552,38.575,23.71,14.31,8.94,15.28,12.28,11.505,8.13,10.625,26.34,13.405,21.64,15.055,2.44,5.85,5.655,8.28,18.15,36.87,3.2,8.4,8.89,9.0,22.985,11.555,0.0,10.17,13.14,40.545,27.885,2.64,5.5,0.0,8.54,0.0,20.93,25.21,45.99,32.85,17.96,69.035,40.6,13.96,5.24,18.26,3.33,26.63,6.29,38.19,27.79,20.72,12.89,0.0,0.0,24.7,7.055,28.505,31.305,10.775,102.2,60.42,67.28,6.375,20.3,20.705,61.13,15.03,64.61,9.37,11.75,23.06,45.04,51.195,28.36,21.215,64.045,9.24,9.68
3207,1.72,11.97,1.52,6.125,3.52,19.965,3.04,4.56,10.11,2.035,1.26,1.52,0.0,3.0,6.84,6.46,10.26,10.25,19.5,0.0,15.395,5.0,3.17,8.9,0.0,0.0,3.0,7.28,16.5,1.61,12.89,1.61,0.0,12.75,0.0,4.0,0.0,0.0,12.055,0.0,11.0,3.0,6.0,5.055,6.0,26.56,32.5,14.925,3.0,15.0,8.5,3.0,12.0,55.24,39.0,21.24,12.45,8.5,16.64,114.066,0.0,119.2,13.42,3.715,5.08,15.635,15.805,6.578,10.4,0.0,24.98,0.0,0.0,0.0,6.095,70.4,9.6,87.48,99.36,5.22,21.9,27.915,75.565,50.035,13.025,5.36,11.72,21.9,32.48,12.7,89.68,27.13,50.63,24.815,5.415,58.39,7.815,5.27,12.6,7.225,61.18,30.65,125.6,130.6,16.245,82.72,59.04,127.72,0.0,28.51,45.855,109.1,18.47,25.3,282.84,4.95,0.0,16.11,22.46,126.74,19.74,125.91,113.22,26.02,157.495,49.415,57.45,45.5,40.44,34.62,47.5,172.99,4.44,15.72,203.49,50.435,52.1,115.87,24.39,116.34,43.91,25.7,12.66,227.155,13.28,82.41,33.435,58.13,16.58,179.06,112.285,76.21,144.62,126.15,109.245,83.41,13.44,76.97,20.24,15.49
3211,0.0,1.5,3.61,3.04,5.0,11.45,3.04,17.93,12.17,0.76,0.0,1.9,0.0,7.14,16.42,15.0,21.21,17.375,7.6,18.92,25.881,0.0,11.308,0.0,5.0,0.0,4.0,13.82,9.88,16.6,0.0,3.0,30.0,5.0,48.0,0.0,5.0,3.6,2.0,4.34,0.0,8.5,31.75,5.0,13.35,0.0,5.0,20.75,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9.96,0.0,0.0,0.0,20.215,10.48,0.0,5.0,0.0,0.0,10.0,0.0,3.06,5.5,0.0,0.0,0.0,10.36,5.2,18.17,7.36,0.0,14.805,16.2,10.73,0.0,19.539,0.0,4.8,29.7,43.725,6.0,12.5,32.49,21.945,16.5,17.55,27.72,0.0,6.6,0.0,6.615,6.615,4.4,11.34,4.95,0.0,19.8,32.8,22.36,30.03,0.0,9.9,6.6,3.9,6.27,6.6,6.6,0.0,99.54,6.5,13.1,48.06,7.77,0.0,16.56,14.06,40.27,0.0,15.66,22.36,76.615,30.0,47.97,42.61,0.0,6.8,0.0,15.75,6.64,6.66,0.0,9.135,18.19,6.64,7.055,9.96,6.64,19.475,45.88,6.64,21.45,0.0,0.0,26.62,0.0,6.64,0.0,23.81,0.0,26.125,6.64,0.0
3212,32.849,45.204,44.43,32.805,59.44,85.06,66.95,59.49,81.858,13.52,15.956,22.575,27.64,46.8,77.915,69.9,145.985,146.04,95.455,78.27,136.26,44.23,37.51,55.47,38.23,43.51,51.46,50.26,51.805,43.255,115.5,32.9,25.0,73.61,89.225,61.235,26.55,56.95,36.09,37.0,80.95,47.25,23.0,26.5,55.25,66.25,45.83,33.6,26.0,45.1,15.5,37.75,40.12,40.865,72.76,27.775,20.5,36.33,31.95,13.5,14.2,58.8,43.92,60.1,49.28,46.14,24.02,49.6,21.425,35.19,9.735,39.86,28.2,43.7,52.17,14.24,33.635,45.61,23.43,124.92,28.94,65.77,45.11,101.8,35.055,23.165,226.195,53.1,53.63,49.565,34.43,49.95,82.58,159.195,196.67,87.11,153.525,104.815,129.39,97.85,96.002,54.43,68.345,92.11,57.435,179.885,177.31,99.935,80.16,161.835,90.46,94.635,116.83,178.665,207.745,100.155,147.945,162.88,117.86,97.48,139.44,190.21,185.53,128.91,194.47,247.66,280.65,204.145,71.57,131.29,202.38,250.665,72.19,100.605,97.56,127.26,167.185,59.65,149.27,167.515,164.9,102.055,170.22,185.645,140.07,195.515,154.615,191.765,139.64,173.48,193.42,181.23,242.9,217.205,262.15,285.655,223.07,87.955,74.14,40.78
3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.52,28.71,3.04,23.975,18.51,19.95,7.0,46.0,3.0,28.0,3.0,20.68,17.61,72.83,24.59,7.24,7.25,12.5,13.0,8.055,8.38,6.1,57.0,17.24,22.0,22.0,4.25,23.0,57.9,9.36,21.0,35.0,15.0,20.0,0.0,12.5,8.0,13.0,10.0,5.0,1.56,59.5,18.77,7.5,13.62,11.38,4.0,42.095,9.97,6.76,23.05,28.48,12.43,51.792,60.9,10.775,25.96,5.0,15.72,0.0,37.05,13.7,9.71,13.55,21.83,26.97,17.7,0.0,9.45,11.4,45.78,13.02,11.89,96.51,17.945,48.185,37.71,24.735,41.285,48.18,23.82,33.28,29.31,33.82,35.205,43.98,35.305,36.425,38.15,90.295,41.185,37.79,42.615,26.4,56.59,15.965,19.075,19.8,54.7,47.805,67.14,54.81,47.39,48.29,23.305,84.56,46.77,56.415,33.3,97.82,62.68,66.67,70.36,62.82,130.27,50.19,11.75,48.67,42.8,26.32,70.68,52.29,54.44,27.01,33.24,44.86,32.85,132.62,38.465,57.49,38.2,53.75,79.2,42.97,52.785,93.83,80.86,60.435,50.12,61.88,52.46,53.02,47.99,13.24
3214,22.55,33.94,59.62,32.345,73.56,106.96,60.605,43.76,52.205,31.94,26.32,35.545,47.31,40.55,69.1,102.94,160.61,164.97,119.65,96.975,94.455,49.45,36.84,46.82,33.33,45.05,36.12,36.16,30.72,45.516,25.28,12.62,31.4,23.42,35.205,22.75,8.55,55.21,89.73,37.645,51.65,20.0,23.0,32.25,22.25,46.5,29.87,22.805,20.4,45.535,20.15,29.5,35.75,48.65,25.48,30.81,10.16,18.93,22.85,37.14,9.0,24.51,23.72,18.16,14.93,20.78,33.84,32.23,0.0,34.332,113.27,61.3,14.775,32.575,35.995,39.79,110.99,29.555,21.51,32.59,42.8,37.98,127.75,178.16,14.88,40.36,34.85,23.865,110.66,32.215,31.51,38.62,32.85,82.59,80.955,49.84,31.54,62.185,102.5,83.583,57.17,273.29,39.09,159.425,111.415,63.755,85.68,128.45,27.655,70.38,84.915,81.455,108.065,109.655,154.105,89.26,123.855,194.75,114.86,72.34,100.71,91.01,185.97,138.9,116.08,225.02,128.88,434.89,75.505,128.8,154.425,181.495,53.8,105.4,264.36,148.175,80.145,91.28,108.02,130.605,88.47,145.595,229.226,163.618,60.57,174.13,206.605,95.79,241.085,111.885,126.04,83.61,211.45,116.455,129.6,84.185,102.04,68.5,103.65,19.44
3215,31.789,6.265,43.34,31.89,57.545,90.87,24.29,61.165,81.13,15.78,20.05,21.4,14.86,25.55,86.27,41.32,105.345,92.58,88.206,80.23,113.495,53.225,54.78,33.36,17.25,43.04,46.09,29.61,25.62,64.99,52.9,15.75,36.76,34.16,36.2,21.99,29.28,49.2,26.645,25.995,60.935,43.205,30.89,24.0,41.0,53.99,59.5,45.73,34.8,21.06,137.37,18.5,32.63,147.44,92.64,9.48,27.82,26.25,149.42,81.51,17.24,5.5,23.8,33.66,26.11,73.975,68.14,182.65,14.32,24.06,24.92,29.915,110.32,104.92,47.145,64.33,66.93,42.98,72.21,58.78,26.69,78.655,75.7,33.03,10.24,82.59,66.565,81.785,65.66,78.3,26.16,190.37,48.245,91.558,62.466,175.545,72.24,133.585,126.141,94.292,165.275,128.765,195.35,125.455,188.81,214.965,198.265,103.675,92.0,73.95,66.265,111.035,90.01,80.94,75.185,105.215,112.92,229.15,129.23,88.69,59.875,78.54,142.49,149.865,81.635,101.705,92.99,118.42,31.47,89.73,98.54,207.14,40.94,126.0,111.755,301.98,102.07,180.03,145.38,130.485,120.695,138.975,147.53,153.44,177.62,197.44,113.335,84.72,98.9,185.17,103.015,102.44,104.19,159.455,127.675,176.485,73.945,103.01,88.27,29.44
3216,92.575,109.408,139.438,160.818,211.405,256.989,108.44,136.77,227.541,60.15,64.685,55.44,80.42,85.948,150.142,171.07,353.15,266.625,204.795,225.57,320.88,74.35,112.05,141.97,99.01,87.995,107.83,111.89,100.335,110.51,76.21,101.33,102.2,65.395,145.135,124.27,126.535,187.39,144.48,121.99,188.46,149.295,141.575,97.53,82.71,100.95,156.625,141.185,97.87,118.87,91.82,79.75,102.53,87.41,80.59,66.38,79.47,77.56,86.0,167.92,33.945,70.3,69.2,68.92,96.48,72.75,108.605,43.985,70.18,97.005,78.89,88.36,60.06,135.767,60.46,81.42,151.14,93.22,93.15,58.027,100.155,139.08,283.2,270.45,94.38,117.49,352.03,164.825,125.29,324.384,116.495,249.371,216.948,316.32,267.21,488.7,326.955,322.402,423.853,356.166,239.985,265.68,231.78,202.86,261.2,404.655,242.595,339.645,238.805,224.585,215.245,183.21,242.22,352.73,437.295,245.4,395.495,445.235,321.925,352.6,279.5,467.845,407.19,322.095,265.475,379.09,375.17,290.05,355.38,521.155,356.32,578.02,215.0,250.495,296.685,280.01,420.97,477.41,385.395,618.975,425.385,439.13,467.975,410.445,326.175,369.128,399.275,368.47,335.745,453.875,449.705,390.735,328.13,346.53,431.84,456.245,246.535,294.13,198.7,53.58
3217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,0.0,0.0,9.0,1.61,7.94,18.0,3.6,0.0,3.0,0.0,11.0,7.68,10.0,2.0,4.6,30.9,14.04,5.22,3.0,14.95,4.935,12.6,19.435,11.0,29.0,9.83,7.5,8.25,9.61,21.78,17.0,21.06,10.5,23.0,5.0,8.0,22.62,25.25,4.0,6.25,35.98,34.49,12.2,8.28,18.98,15.44,33.36,28.02,40.53,12.48,25.765,27.94,3.5,30.86,16.27,10.72,5.94,24.79,0.0,51.285,18.895,13.92,24.98,73.325,43.13,66.495,27.91,28.365,44.0,57.965,114.52,29.51,51.44,43.045,81.715,58.32,187.725,60.235,47.26,104.235,99.692,133.786,116.596,22.745,48.78,134.045,172.035,229.125,184.905,99.495,142.72,132.615,82.82,127.04,356.18,108.55,171.09,170.805,189.785,256.93,187.58,122.05,200.62,217.755,239.61,264.12,187.65,217.02,282.23,232.725,162.59,230.075,300.99,227.235,130.75,197.89,413.545,144.005,255.775,135.81,217.935,208.27,294.29,191.175,239.0,216.535,147.355,259.665,297.22,149.395,200.095,174.78,237.405,261.54,164.28,326.135,265.475,241.665,217.48,317.215,185.81,87.52
3218,13.46,15.86,22.02,26.705,43.035,38.285,13.26,28.875,37.5,13.04,10.32,1.56,13.3,21.49,21.92,27.536,78.751,52.505,28.67,17.68,69.315,10.16,18.4,22.15,12.2,11.24,18.44,16.93,29.07,14.5,7.28,13.0,7.0,12.685,18.2,33.15,22.0,16.91,22.77,5.75,16.44,26.215,25.2,9.0,5.0,24.0,23.57,21.25,17.94,34.42,7.0,13.5,20.64,6.5,49.35,14.24,8.5,15.4,20.41,19.94,1.5,8.01,28.9,85.24,17.86,3.06,27.72,6.82,23.4,8.352,7.04,130.215,17.625,13.79,29.36,8.48,40.48,23.32,39.13,10.2,30.6,9.3,12.54,33.095,19.146,8.64,13.58,15.12,26.73,118.88,22.86,23.052,10.8,38.57,44.12,56.085,47.14,56.777,54.36,56.016,61.46,120.49,39.795,33.305,68.025,56.79,88.48,85.625,56.72,100.785,151.395,24.48,42.8,59.54,49.95,44.88,38.85,129.57,172.81,44.05,37.93,80.805,61.21,99.01,59.25,183.49,66.46,82.92,62.79,41.73,82.77,162.655,30.585,96.62,45.69,50.355,79.915,55.31,78.53,205.225,168.58,62.245,57.3,78.1,80.995,106.57,122.81,94.075,52.185,112.735,134.59,68.465,182.195,71.49,126.68,128.79,134.77,103.15,49.56,37.885
