"Taxation statistics 2013–14 Individuals: Selected items by state/territory and postcode, 2013–14 income year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,State/Territory1,Number of individuals,Number of individuals with private health insurance,"Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$",Foreign source income other net foreign source income,Foreign source income other net foreign source income,"Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,Net rent - loss no.,Net rent - loss $,"Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - Primary production4 
no.","Total business income - Primary production4 
$","Total business income - Non-primary production4 
no.","Total business income - Non-primary production4 
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$","Net income or loss from business - Primary production4 
no.","Net income or loss from business - Primary production4 
$","Net income or loss from business - Non-primary production4 
no.","Net income or loss from business - Non-primary production4 
$","Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Net medical expenses over the threshold amount tax offset
no.","Net medical expenses over the threshold amount tax offset
$","Low income tax offset
no.","Low income tax offset
$","Mature age worker tax offset
no.","Mature age worker tax offset
$","Termination payment tax offset
no.","Termination payment tax offset
$"
2329,NSW,"1,041",635,"1,025","47,018,444",783,"9,821,856",654,"640,622",12,"13,393",706,"9,944,967",34,"110,326",753,"35,685,347",198,"319,074",9,"214,422",8,"43,749",84,"481,019",76,"882,631",12,"177,881",5,"357,746",645,"1,735,557",132,"156,424",347,"2,322,045",346,"994,981","1,038","49,814,280",223,"519,559",51,"97,097",552,"132,299",28,"47,523",447,"534,246",14,"2,710",14,"83,457",12,"54,990",264,"189,462",481,"186,850",797,"2,360,888",27,"448,592",63,"431,636",218,"-2,079,196",232,"2,886,759",74,"351,395",2,"16,609",11,"484,544",9,"96,442",63,"3,362,057",41,"1,319,735",88,"8,782,512",83,"1,349,538",57,"98,675",56,"86,803",55,"5,929",175,"2,679,540",128,"1,312,377",57,"121,259",173,"1,172,190",82,"476,719",93,"-403,005",175,"73,714",44,"24,830",6,"89,457",22,"428,209",53,"82,167",56,"5,099,189",64,"7,359,496",115,"12,458,685",117,"11,524,393",57,"-1,050,754",65,"1,753,652",117,"702,898",44,"372,074",10,"40,355",14,"11,114",552,"183,714",118,"50,321",13,"78,425"
2330,NSW,"11,467","8,114","11,378","793,417,438","9,327","192,847,349","8,316","11,047,858",197,"232,787","8,704","199,311,440",223,"959,408","9,834","722,302,869","2,335","4,801,133",259,"4,386,934",330,"5,619,068",613,"3,363,888",490,"4,995,043",92,"1,388,490",92,"1,884,586","6,633","10,321,727","1,035","452,874","3,416","17,155,077","3,410","7,347,621","11,433","824,019,666","3,529","7,422,301",669,"1,213,303","8,292","2,053,266",662,"1,334,870","7,058","7,636,022",486,"307,675",172,"354,843",213,"989,616","4,698","1,860,432","6,242","2,181,971","10,005","29,001,671",722,"10,951,961","1,417","10,467,050",426,"-5,786,658","1,272","37,253,732",663,"7,087,780",25,"450,139",63,"1,973,135",118,"925,780",541,"4,328,437",375,"1,007,484",776,"19,109,958",993,"25,773,308",677,"1,502,998",645,"649,923",584,"347,797","1,965","37,660,444","1,687","23,907,568","1,174","3,901,878","1,980","18,810,552",618,"5,507,917","1,378","-14,464,400","1,996","-8,956,483",561,"1,349,561",106,"525,403",102,"1,494,243",916,"2,146,771",298,"14,527,769",560,"45,690,634",826,"60,217,623",830,"58,523,847",317,"-8,995,639",575,"8,986,354",854,"-9,285",257,"2,202,864",95,"228,426",242,"161,122","4,497","1,468,207",534,"230,686",424,"1,578,603"
2333,NSW,"6,976","4,241","6,933","458,244,369","5,778","105,508,819","5,229","6,417,793",148,"169,510","5,430","109,388,696",139,"577,185","6,130","432,758,538","1,441","2,941,586",152,"1,838,523",183,"2,576,541",534,"3,201,551",321,"3,180,919",45,"562,910",37,"560,428","3,501","5,770,609",454,"270,086","1,671","8,500,464","1,670","3,640,402","6,956","478,698,623","2,768","6,073,657",444,"695,939","5,150","1,323,656",470,"823,441","4,523","5,188,658",173,"121,441",175,"234,308",97,"307,144","3,428","911,903","4,197","1,142,822","6,186","18,712,082",335,"5,001,163",908,"6,590,929",207,"-2,248,576",552,"9,684,293",273,"561,455",21,"305,860",36,"2,847,070",46,"988,252",230,"1,249,130",173,"244,082",315,"4,244,112",448,"10,141,679",303,"523,218",289,"213,241",276,"44,346","1,109","19,292,147",968,"12,786,689",589,"1,830,552","1,115","10,037,603",314,"2,199,548",807,"-7,562,245","1,121","-5,362,697",295,"497,260",52,"313,039",53,"905,898",441,"983,841",97,"6,582,303",284,"21,964,063",367,"28,564,746",375,"28,435,808",106,"-4,818,041",293,"5,390,446",382,"583,240",129,"1,068,176",44,"92,762",115,"79,076","2,891","949,446",343,"149,196",243,"848,807"
2334,NSW,"1,357",756,"1,351","78,711,475","1,146","16,471,253","1,026","1,088,296",39,"57,810","1,065","17,064,146",18,"70,562","1,210","74,015,488",321,"721,817",46,"424,653",45,"490,915",123,"672,511",59,"617,953",8,"41,714",9,"213,046",642,"498,233",63,"18,347",244,"966,973",244,"414,555","1,356","82,371,835",530,"1,282,298",125,"372,517","1,013","235,633",96,"170,107",931,"909,763",22,"14,220",13,"4,434",9,"24,590",587,"124,465",831,"156,546","1,218","3,607,971",64,"1,004,887",115,"808,301",6,"1,223",68,"1,086,720",23,"9,436",9,"201,462",2,"30,856",12,"56,587",27,"535,743",19,"126,736",34,"866,162",52,"855,273",23,"26,357",21,"9,056",21,"1,081",142,"2,203,423",131,"1,552,347",67,"168,036",145,"1,186,397",41,"168,646",105,"-872,003",146,"-703,357",42,"188,577",11,"96,225",6,"179,080",87,"134,318",3,"54,057",73,"3,864,061",75,"3,918,118",76,"2,730,468",6,"-125,656",73,"1,276,962",78,"1,151,306",31,"280,098",6,"6,608",19,"8,952",663,"220,509",62,"26,387",69,"209,506"
2335,NSW,"3,255","2,320","3,244","204,994,629","2,703","46,034,316","2,419","2,867,676",53,"65,238","2,507","47,479,414",54,"164,164","2,773","190,969,703",744,"2,171,255",68,"937,740",85,"1,108,749",194,"1,031,931",148,"1,415,496",35,"667,443",25,"642,888","1,797","2,599,017",254,"72,275",925,"2,571,853",925,"1,101,133","3,250","213,716,247","1,146","2,634,917",246,"632,685","2,271","530,005",185,"349,086","2,063","2,207,055",84,"65,276",45,"71,883",47,"145,319","1,398","490,880","1,833","521,961","2,842","8,669,352",202,"3,119,304",371,"2,702,991",145,"-1,964,432",348,"5,963,871",139,"476,685",22,"549,100",20,"838,196",34,"288,778",123,"1,313,526",98,"365,794",170,"4,089,156",244,"3,071,082",155,"541,258",138,"102,479",125,"93,531",522,"9,203,001",468,"5,905,677",291,"931,661",530,"4,437,356",164,"1,223,656",373,"-3,295,349",537,"-2,071,693",177,"517,582",27,"182,392",32,"410,780",239,"600,557",48,"1,560,359",171,"11,092,074",208,"12,652,433",221,"11,508,799",61,"-2,104,812",174,"2,748,739",224,"643,927",86,"441,232",39,"106,116",60,"43,546","1,403","455,990",193,"86,272",118,"447,562"
2336,NSW,"1,446",901,"1,433","85,011,275","1,164","19,144,784","1,060","1,212,165",23,"20,434","1,094","19,642,104",18,"47,249","1,197","80,806,181",272,"557,440",25,"963,902",48,"851,099",91,"496,336",80,"833,773",17,"186,819",1,"27,443",824,"1,219,082",134,"315,218",371,"1,595,630",370,"683,551","1,443","89,031,934",520,"1,195,734",95,"140,625","1,008","255,374",89,"118,361",903,"1,068,808",26,"11,457",59,"69,300",25,"31,106",669,"161,360",830,"255,177","1,275","3,870,879",65,"1,066,667",161,"1,363,247",145,"-2,083,667",168,"1,290,902",55,"129,018",4,"92,263",3,"28,683",11,"79,479",48,"387,656",38,"84,826",70,"1,671,706",101,"2,654,746",58,"189,658",56,"177,311",47,"18,209",232,"4,026,307",174,"2,262,793",113,"341,447",232,"2,002,299",85,"641,505",148,"-1,221,737",233,"-580,232",62,"117,098",12,"31,604",23,"315,086",124,"231,406",39,"3,110,609",83,"5,366,581",116,"8,477,190",115,"8,630,076",42,"-1,366,356",83,"1,236,088",117,"-130,268",40,"189,191",15,"24,873",18,"31,225",659,"214,572",94,"40,561",53,"266,934"
2337,NSW,"4,549","2,852","4,502","506,791,581","3,568","169,986,520","3,141","7,307,660",62,"62,184","3,294","119,659,798",71,"229,321","3,677","214,629,744",823,"2,441,483",62,"923,688",71,"961,451",247,"1,451,918",237,"2,591,398",46,"710,875",19,"380,418","2,635","4,419,240",426,"859,702","1,300","17,313,732","1,296","7,419,300","4,535","521,521,457","1,292","2,941,901",296,"727,523","2,801","725,703",216,"327,139","2,483","2,631,434",68,"29,050",95,"121,316",69,"290,379","1,589","2,510,529","2,445","891,919","3,761","13,147,748",194,"3,712,155",421,"3,286,360",406,"-4,873,845",693,"18,119,676",257,"1,514,393",23,"390,548",31,"1,983,127",56,"485,077",258,"3,703,258",172,"1,093,069",356,"42,426,154",375,"14,347,513",253,"241,194,564",239,"240,583,367",220,"55,880,466",645,"10,437,650",522,"5,468,335",281,"785,550",650,"5,260,835",254,"1,996,048",401,"-3,073,118",655,"-1,077,070",276,"390,722",37,"163,616",71,"1,266,031",300,"680,558",117,"6,376,334",323,"31,885,429",422,"38,261,763",419,"34,871,387",123,"-4,472,157",336,"6,412,374",440,"1,940,217",161,"1,385,058",44,"102,863",57,"40,967","2,146","699,342",295,"121,784",102,"429,536"
2338,NSW,678,391,662,"29,549,752",501,"5,672,598",422,"391,577",9,"10,753",444,"5,796,010",6,"15,155",486,"25,048,099",150,"240,184",5,"69,565",7,"48,194",51,"297,873",74,"828,593",5,"60,627",6,"88,663",402,"676,528",67,"54,817",211,"1,111,403",211,"476,697",674,"31,218,571",177,"421,831",59,"119,826",370,"102,205",26,"31,508",312,"338,214",14,"5,700",7,"26,073",4,"2,026",192,"66,995",341,"98,583",520,"1,436,710",32,"638,374",52,"409,555",99,"-1,175,430",117,"1,652,998",26,"125,516",5,"168,037",8,"84,339",15,"107,084",20,"292,702",12,"56,282",31,"822,938",51,"2,874,268",22,"56,019",22,"56,019",18,"6,687",95,"1,297,575",73,"711,077",34,"85,340",94,"503,582",48,"237,491",48,"-239,915",96,"-2,424",38,"76,673",6,"1,899",12,"133,702",45,"89,810",31,"1,681,225",63,"4,390,848",89,"6,072,073",92,"5,585,491",32,"-672,713",65,"1,318,397",92,"645,684",31,"232,580",5,"7,975",8,"6,353",337,"112,704",56,"22,335",15,"23,939"
2339,NSW,399,250,381,"13,855,931",266,"2,680,082",233,"198,343",2,"2,384",243,"2,651,477",4,"14,562",272,"11,570,923",62,"177,808",4,"16,314",2,"2,591",21,"114,779",22,"248,062",5,"160,300",0,0,231,"409,072",75,"70,856",141,"932,907",141,"399,784",398,"15,669,491",62,"158,096",28,"133,474",180,"55,400",11,"18,155",142,"207,454",6,"2,650",8,"23,535",11,"193,807",83,"38,897",148,"52,994",281,"1,218,843",14,"239,631",22,"201,025",127,"-56,778",113,"1,238,428",28,"114,815",0,0,1,"49,103",7,"37,853",24,"58,257",13,"1,966",40,"1,171,252",65,"3,027,144",28,"13,012",29,"13,017",21,"1,720",73,"1,240,142",52,"459,068",23,"34,387",71,"494,772",40,"408,052",31,"-156,137",71,"251,915",20,"2,396",3,"30,682",20,"296,124",20,"38,257",27,"2,121,878",39,"4,336,023",63,"6,457,901",61,"6,316,484",30,"-808,061",39,"951,441",64,"143,380",25,"175,879",2,"9,216",3,"1,919",198,"67,321",42,"18,410",6,"32,621"
2340,NSW,"26,616","14,687","26,431","1,232,797,855","21,426","227,587,022","18,275","16,290,705",217,"272,298","19,573","232,010,398",736,"2,508,361","21,465","1,018,685,309","6,068","12,108,679",338,"5,321,539",316,"2,524,754","2,382","13,746,143","1,951","19,688,624",341,"6,413,211",216,"4,632,774","14,731","24,817,082","2,160","1,481,187","6,998","35,564,663","6,986","15,232,228","26,541","1,299,760,345","6,833","15,069,156","2,270","6,463,457","15,678","4,189,774","1,224","1,758,035","13,894","14,057,398",570,"170,386",629,"756,625",518,"1,590,947","8,376","3,378,613","13,263","3,536,491","21,787","61,743,793","1,956","35,779,083","2,478","19,026,235","1,208","-20,077,931","3,985","82,213,072","1,355","4,015,305",165,"3,090,258",138,"2,709,266",316,"2,113,430","1,186","12,820,556",833,"2,700,941","1,679","57,331,328","1,899","44,293,203","1,130","4,939,078","1,062","3,996,351",969,"618,142","3,694","60,859,310","2,896","27,068,610","1,443","3,308,965","3,719","29,695,929","1,650","13,092,623","2,091","-12,306,857","3,741","785,766","1,472","1,508,774",206,"1,216,413",467,"7,252,793","1,635","3,503,210",273,"19,828,788","1,899","191,941,280","2,116","214,607,688","2,082","170,202,681",304,"-6,421,747","1,936","49,020,467","2,173","41,299,722","1,047","11,429,060",352,"1,012,238",386,"313,744","14,915","4,784,556","2,115","903,440",550,"1,794,409"
2341,NSW,623,303,620,"26,367,721",470,"4,719,304",392,"341,959",9,"12,327",425,"4,783,136",9,"23,479",494,"23,434,549",165,"458,735",17,"229,790",11,"65,297",88,"613,407",41,"414,141",7,"88,166",2,"43,086",338,"395,587",41,"39,732",158,"656,059",158,"281,500",623,"28,202,041",173,"534,631",81,"439,092",391,"99,616",28,"35,877",310,"304,222",15,"10,798",8,"1,738",4,"12,686",177,"36,372",344,"80,300",494,"1,708,142",28,"439,977",47,"370,266",44,"40,183",97,"861,265",39,"10,159",7,"71,460",3,"37,687",8,"59,139",30,"37,258",19,"5,296",44,"113,147",40,"618,852",41,"51,829",41,"51,829",37,"7,319",64,"1,336,650",51,"585,170",19,"48,699",62,"543,914",28,"334,604",35,"-175,737",63,"158,867",35,"15,137",14,"35,358",6,"102,507",24,"49,811",17,"918,743",29,"1,717,545",45,"2,636,288",44,"2,637,569",17,"-115,799",30,"92,846",46,"-22,953",16,"56,943",6,"8,499",13,"3,408",337,"116,480",58,"26,742",20,"33,073"
2342,NSW,285,167,278,"10,262,530",198,"1,960,154",166,"142,412",3,"3,054",174,"1,979,756",1,"2,579",189,"8,401,597",49,"159,758",4,"85,359",2,"6,228",24,"161,760",30,"329,383",1,"34,891",2,"34,988",164,"344,154",29,"5,419",102,"383,680",101,"164,404",283,"11,896,087",64,"157,578",20,"159,767",136,"37,105",4,"13,965",113,"131,188",2,"1,050",4,"5,440",4,"5,397",58,"17,491",112,"42,726",194,"842,773",11,"202,170",10,"55,934",74,"-1,283,566",62,"1,296,085",13,"42,044",2,"22,710",1,"752,328",1,838,13,"763,848",10,"205,809",21,"1,933,934",29,"625,835",12,"18,046",9,"6,248",9,"1,004",42,"1,139,948",23,"160,268",12,"11,932",39,"419,476",27,"613,636",15,"-65,364",42,"548,272",12,"49,694",3,"1,412",8,"240,000",18,"31,066",27,"1,631,979",18,"435,413",42,"2,067,392",41,"2,922,213",28,"-1,067,958",17,"179,994",42,"-887,964",11,"55,742",2,"8,337",3,"1,181",155,"50,695",25,"10,526",6,"10,297"
2343,NSW,"2,645","1,593","2,591","105,645,563","1,952","20,220,321","1,642","1,451,580",14,"13,512","1,732","20,363,732",43,"161,236","1,860","83,102,203",499,"1,238,221",28,"183,366",18,"104,535",214,"1,367,813",212,"2,431,642",31,"592,074",10,"213,484","1,569","3,056,985",331,"223,708",868,"5,023,915",867,"2,152,549","2,634","114,330,056",544,"1,288,210",165,"712,247","1,301","341,586",88,"178,136","1,001","1,080,880",55,"33,264",44,"131,477",60,"222,283",667,"235,771","1,130","476,337","1,958","6,521,143",105,"1,712,022",152,"1,057,289",458,"-950,152",639,"8,969,577",204,"931,241",14,"252,505",24,"2,377,407",39,"730,398",135,"2,100,320",89,"308,556",221,"10,584,732",294,"5,080,583",145,"543,183",134,"309,905",118,"44,899",366,"6,128,625",258,"2,906,530",131,"255,587",358,"3,241,785",184,"1,156,249",181,"-1,431,526",365,"-275,277",184,"184,669",30,"152,587",72,"1,154,618",164,"664,770",89,"11,909,657",206,"16,328,955",276,"28,238,612",280,"28,550,212",97,"-3,422,230",213,"3,509,358",289,"87,128",106,"770,048",24,"79,037",29,"22,607","1,391","452,753",263,"115,116",42,"148,429"
2344,NSW,422,304,408,"17,184,894",308,"2,963,637",273,"229,467",10,"11,826",289,"3,026,293",9,"31,953",299,"15,298,206",72,"149,050",4,"76,473",2,"7,518",27,"149,902",22,"219,019",10,"167,992",1,"25,358",264,"757,686",67,"57,813",146,"429,906",145,"184,195",421,"19,795,240",75,"185,260",21,"70,849",216,"58,322",12,"9,351",182,"163,074",7,410,8,"14,275",14,"50,264",83,"23,517",165,"42,633",309,"845,846",26,"431,747",35,"176,507",126,"-121,506",114,"1,180,447",31,"19,364",2,"142,129",4,"71,135",3,"7,181",32,"662,186",22,"32,195",56,"2,779,562",58,"758,111",21,"4,199",21,"4,199",20,512,52,"854,023",35,"268,728",14,"20,504",50,"335,029",22,"320,966",30,"-91,204",52,"229,762",19,"7,673",4,"10,139",17,"177,567",29,"50,324",30,"1,204,919",30,"1,133,020",55,"2,337,939",52,"2,707,353",30,"-764,526",31,"400,049",56,"-364,477",17,"63,728",9,"21,647",9,"3,697",222,"73,780",48,"20,798",7,"12,431"
2345,NSW,452,269,442,"18,129,284",330,"3,335,386",275,"242,448",3,"3,067",289,"3,397,390",8,"27,862",337,"16,416,004",102,"209,456",10,"107,944",7,"19,827",34,"215,262",41,"432,328",6,"90,716",2,"26,325",268,"354,699",37,"43,255",126,"571,434",126,"244,872",450,"19,666,425",109,"254,592",31,"156,926",242,"62,421",19,"35,096",216,"236,097",8,"1,292",6,"36,598",6,"27,911",117,"44,148",191,"47,380",340,"1,166,959",21,"420,960",29,"238,304",110,"-1,746,030",109,"1,317,441",27,"20,055",4,"66,568",9,"416,667",9,"78,594",30,"216,768",16,"29,244",37,"638,222",42,"531,720",21,"17,958",19,"14,596",17,"1,034",60,"718,110",38,"400,829",16,"16,655",59,"320,571",29,"190,559",30,"-210,504",59,"-19,945",28,"39,292",6,"4,447",9,"71,429",29,"193,069",25,"3,668,981",48,"4,273,245",63,"7,942,226",57,"7,321,880",26,"-842,262",49,"1,151,568",65,"309,306",25,"258,906",4,"9,343",5,"2,678",244,"80,313",41,"17,507",13,"16,272"
2346,NSW,"1,409",661,"1,381","54,059,933","1,035","9,324,354",842,"697,436",9,"12,454",909,"9,210,528",19,"47,871","1,009","44,311,458",281,"558,471",20,"113,421",10,"61,367",151,"987,087",135,"1,408,125",9,"64,820",19,"479,643",795,"1,441,172",128,"49,152",368,"1,537,402",369,"658,825","1,403","57,572,150",284,"790,961",74,"251,912",709,"177,030",45,"78,386",581,"556,638",20,"5,629",21,"3,894",13,"15,575",295,"99,125",603,"167,825","1,045","2,781,076",49,"762,090",84,"543,354",236,"-2,125,762",241,"4,570,992",68,"282,624",18,"164,940",9,"344,220",12,"151,988",64,"721,641",36,"146,864",92,"2,042,383",108,"1,377,607",51,"52,935",51,"25,468",41,"2,213",196,"2,610,713",142,"968,647",56,"88,119",195,"1,327,391",112,"662,074",85,"-435,518",197,"226,556",64,"152,255",5,"33,508",32,"535,213",57,"98,855",67,"2,384,790",94,"10,212,685",149,"12,597,475",149,"11,343,041",67,"-1,121,686",96,"2,005,552",151,"883,866",50,"362,681",12,"27,074",9,"5,085",755,"245,615",144,"62,974",29,"232,311"
2347,NSW,843,473,826,"26,330,971",544,"4,698,557",439,"360,127",5,"3,580",478,"4,719,573",24,"72,818",530,"20,989,851",180,"543,687",7,"95,169",2,"11,449",81,"498,830",86,"909,536",9,"98,958",3,"26,908",530,"1,012,284",102,"48,974",260,"1,103,429",260,"472,895",840,"28,048,447",149,"342,784",42,"104,731",370,"85,842",18,"21,502",292,"284,781",15,"1,498",12,"12,222",20,"45,937",170,"46,231",299,"88,571",540,"1,475,227",31,"550,101",59,"483,229",214,"-2,256,282",191,"1,930,738",57,"58,247",7,"145,800",17,"239,500",9,"92,362",47,"323,781",30,"26,431",62,"1,233,868",60,"809,404",56,"42,313",54,"35,485",45,"5,535",109,"1,326,884",63,"425,170",12,"11,797",106,"649,185",61,"392,605",48,"-151,873",109,"240,732",29,"12,803",10,"1,267",20,"373,892",30,"66,236",72,"3,625,925",106,"7,872,339",161,"11,498,264",161,"10,056,774",77,"-910,222",106,"2,149,379",166,"1,239,157",69,"398,924",8,"13,861",1,861,408,"136,274",101,"45,528",5,"3,195"
2350,NSW,"13,591","8,180","13,483","638,070,892","10,621","122,517,272","9,075","8,448,473",174,"218,338","9,587","124,198,518",522,"1,779,101","10,616","503,901,972","2,709","4,861,265",148,"2,865,191",126,"1,833,245","1,359","8,260,694",861,"8,704,624",191,"3,800,719",149,"3,994,043","8,864","16,052,196","1,347","1,217,060","3,926","22,190,437","3,918","9,504,136","13,551","669,086,847","2,752","5,642,478","1,252","2,283,596","6,166","1,578,303",694,"981,102","6,170","6,900,996",167,"50,726",317,"711,751",349,"1,128,474","4,174","2,594,552","5,658","1,962,438","10,650","29,066,654",728,"13,821,183","1,484","12,403,447",744,"-7,441,882","2,351","43,019,835",981,"2,785,019",31,"446,090",74,"1,640,757",210,"1,993,927",802,"11,260,100",575,"3,536,019","1,203","29,645,075","1,325","26,060,048",945,"4,071,517",863,"1,209,519",776,"699,129","2,060","33,956,134","1,489","14,712,840",681,"1,297,282","2,050","15,930,852","1,026","7,745,966","1,038","-5,725,481","2,064","2,020,485",587,"787,743",146,"294,187",224,"3,950,249",544,"1,242,588",187,"7,949,241","1,092","85,888,995","1,247","93,839,736","1,222","72,289,445",209,"-4,174,512","1,137","23,902,105","1,306","19,729,093",608,"5,691,114",232,"747,927",306,"329,511","7,130","2,332,570","1,055","448,237",225,"1,137,954"
2351,NSW,85,47,85,"3,850,553",52,"760,884",42,"48,040",2,"1,870",43,"784,646",1,"4,413",80,"3,420,845",20,"29,479",2,"81,324",2,"31,748",31,"241,132",2,"16,593",2,"11,518",1,"8,026",54,"54,501",5,829,13,"29,780",13,"12,759",85,"4,002,853",11,"16,285",14,"24,557",26,"5,628",2,"2,277",40,"56,663",1,686,1,30,1,195,18,"5,340",30,"9,518",58,"152,300",3,"74,913",13,"116,050",0,0,6,"7,481",6,"2,334",0,0,0,0,1,"18,573",6,"15,652",5,"1,666",6,"29,676",1,"1,797",6,"3,613",6,"1,291",6,171,8,"257,485",6,"143,640",4,"17,359",8,"146,337",1,"18,217",7,"-68,068",8,"-49,851",5,846,0,0,1,"25,000",4,"6,121",0,0,4,"135,997",4,"135,997",4,"68,035",0,0,4,"63,346",4,"63,346",2,"10,207",1,375,0,0,20,"7,100",2,874,3,"9,294"
2352,NSW,"1,404",770,"1,396","63,019,611","1,137","11,280,391",985,"841,754",12,"17,534","1,037","11,573,184",34,"111,187","1,132","52,259,999",369,"1,014,449",26,"280,878",18,"86,780",107,"589,307",101,"1,090,990",15,"162,724",13,"232,717",751,"945,742",110,"47,786",344,"1,167,369",344,"500,106","1,403","66,620,584",403,"884,582",103,"508,897",876,"225,686",74,"127,067",745,"732,279",31,"6,121",22,"7,672",20,"25,040",401,"122,820",718,"164,233","1,154","3,233,601",110,"2,256,393",102,"738,663",115,"-1,211,263",207,"4,455,604",70,"551,716",11,"234,911",12,"169,791",14,"91,180",48,"1,281,586",35,"465,851",72,"2,842,632",97,"980,461",49,"53,273",47,"34,562",42,"2,608",176,"2,956,577",146,"1,247,075",58,"111,625",172,"1,353,949",78,"722,683",98,"-478,755",176,"243,928",87,"528,185",8,"11,138",25,"314,531",81,"114,653",32,"1,385,804",131,"11,912,532",155,"13,298,336",154,"10,739,996",34,"-694,749",132,"2,756,458",157,"2,061,709",77,"576,054",17,"31,723",21,"8,151",825,"265,924",142,"61,617",34,"60,274"
2353,NSW,540,276,536,"22,606,233",429,"3,814,193",372,"298,886",4,"5,689",390,"3,887,837",12,"39,662",440,"20,521,786",139,"286,502",6,"117,049",8,"56,512",55,"259,681",47,"465,004",7,"114,162",4,"58,439",275,"380,399",31,"14,235",116,"437,929",116,"187,997",539,"24,010,334",144,"392,569",50,"141,720",345,"93,737",30,"39,101",293,"300,568",11,"2,896",10,"9,600",4,808,145,"95,864",271,"72,685",446,"1,321,101",34,"645,378",38,"212,259",60,"-742,727",93,"1,196,180",23,"24,651",4,"76,210",13,"161,452",16,"157,420",23,"244,651",16,"23,532",24,"522,917",23,"279,529",13,"12,076",11,"5,122",13,787,69,"841,546",56,"411,267",18,"24,090",69,"357,472",33,"162,478",36,"-113,761",69,"48,717",36,"39,411",1,23,5,"72,840",31,"98,713",13,"341,051",43,"3,317,712",52,"3,658,763",56,"3,634,956",19,"-475,685",45,"231,185",58,"-244,500",18,"64,718",6,"17,890",3,"1,516",302,"100,942",49,"20,649",13,"34,182"
