Small Unit Installation Postcode,Jan 2011 - Installations Quantity,Feb 2011 - Installations Quantity,Mar 2011 - Installations Quantity,Apr 2011 - Installations Quantity,May 2011 - Installations Quantity,Jun 2011 - Installations Quantity,Jul 2011 - Installations Quantity,Aug 2011 - Installations Quantity,Sep 2011 - Installations Quantity,Oct 2011 - Installations Quantity,Nov 2011 - Installations Quantity,Dec 2011 - Installations Quantity,Jan 2012 - Installations Quantity,Feb 2012 - Installations Quantity,Mar 2012 - Installations Quantity,Apr 2012 - Installations Quantity,May 2012 - Installations Quantity,Jun 2012 - Installations Quantity,Jul 2012 - Installations Quantity,Aug 2012 - Installations Quantity,Sep 2012 - Installations Quantity,Oct 2012 - Installations Quantity,Nov 2012 - Installations Quantity,Dec 2012 - Installations Quantity,Jan 2013 - Installations Quantity,Feb 2013 - Installations Quantity,Mar 2013 - Installations Quantity,Apr 2013 - Installations Quantity,May 2013 - Installations Quantity,Jun 2013 - Installations Quantity,Jul 2013 - Installations Quantity,Aug 2013 - Installations Quantity,Sep 2013 - Installations Quantity,Oct 2013 - Installations Quantity,Nov 2013 - Installations Quantity,Dec 2013 - Installations Quantity,Jan 2014 - Installations Quantity,Feb 2014 - Installations Quantity,Mar 2014 - Installations Quantity,Apr 2014 - Installations Quantity,May 2014 - Installations Quantity,Jun 2014 - Installations Quantity,Jul 2014 - Installations Quantity,Aug 2014 - Installations Quantity,Sep 2014 - Installations Quantity,Oct 2014 - Installations Quantity,Nov 2014 - Installations Quantity,Dec 2014 - Installations Quantity,Jan 2015 - Installations Quantity,Feb 2015 - Installations Quantity,Mar 2015 - Installations Quantity,Apr 2015 - Installations Quantity,May 2015 - Installations Quantity,Jun 2015 - Installations Quantity,Jul 2015 - Installations Quantity,Aug 2015 - Installations Quantity,Sep 2015 - Installations Quantity,Oct 2015 - Installations Quantity,Nov 2015 - Installations Quantity,Dec 2015 - Installations Quantity,Jan 2016 - Installations Quantity,Feb 2016 - Installations Quantity,Mar 2016 - Installations Quantity,Apr 2016 - Installations Quantity,May 2016 - Installations Quantity,Jun 2016 - Installations Quantity,Jul 2016 - Installations Quantity,Aug 2016 - Installations Quantity,Sep 2016 - Installations Quantity,Oct 2016 - Installations Quantity,Nov 2016 - Installations Quantity,Dec 2016 - Installations Quantity,Jan 2017 - Installations Quantity,Feb 2017 - Installations Quantity,Mar 2017 - Installations Quantity,Apr 2017 - Installations Quantity,May 2017 - Installations Quantity,Jun 2017 - Installations Quantity,Jul 2017 - Installations Quantity,Aug 2017 - Installations Quantity,Sep 2017 - Installations Quantity,Oct 2017 - Installations Quantity,Nov 2017 - Installations Quantity,Dec 2017 - Installations Quantity,Jan 2018 - Installations Quantity,Feb 2018 - Installations Quantity,Mar 2018 - Installations Quantity,Apr 2018 - Installations Quantity,May 2018 - Installations Quantity,Jun 2018 - Installations Quantity,Jul 2018 - Installations Quantity,Aug 2018 - Installations Quantity,Sep 2018 - Installations Quantity,Oct 2018 - Installations Quantity,Nov 2018 - Installations Quantity,Dec 2018 - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,May 2020 - Installations Quantity,Jun 2020 - Installations Quantity,Jul 2020 - Installations Quantity,Aug 2020 - Installations Quantity,Sep 2020 - Installations Quantity,Oct 2020 - Installations Quantity,Nov 2020 - Installations Quantity,Dec 2020 - Installations Quantity,Jan 2021 - Installations Quantity,Feb 2021 - Installations Quantity,Mar 2021 - Installations Quantity,Apr 2021 - Installations Quantity,May 2021 - Installations Quantity,Jun 2021 - Installations Quantity,Jul 2021 - Installations Quantity,Aug 2021 - Installations Quantity,Sep 2021 - Installations Quantity,Oct 2021 - Installations Quantity,Nov 2021 - Installations Quantity,Dec 2021 - Installations Quantity,Jan 2022 - Installations Quantity,Feb 2022 - Installations Quantity,Mar 2022 - Installations Quantity,Apr 2022 - Installations Quantity,May 2022 - Installations Quantity,Jun 2022 - Installations Quantity,Jul 2022 - Installations Quantity,Aug 2022 - Installations Quantity,Sep 2022 - Installations Quantity,Oct 2022 - Installations Quantity,Nov 2022 - Installations Quantity,Dec 2022 - Installations Quantity,Jan 2023 - Installations Quantity,Feb 2023 - Installations Quantity,Mar 2023 - Installations Quantity,Apr 2023 - Installations Quantity,May 2023 - Installations Quantity,Jun 2023 - Installations Quantity,Jul 2023 - Installations Quantity,Aug 2023 - Installations Quantity,Sep 2023 - Installations Quantity,Oct 2023 - Installations Quantity,Nov 2023 - Installations Quantity,Dec 2023 - Installations Quantity,Jan 2024 - Installations Quantity,Feb 2024 - Installations Quantity,Mar 2024 - Installations Quantity,Apr 2024 - Installations Quantity
3016,5,7,3,4,8,14,6,10,10,1,5,3,1,3,8,10,23,13,8,6,13,3,3,8,3,3,4,4,3,3,4,6,5,2,6,7,5,4,3,6,9,3,8,7,10,14,5,12,9,3,6,2,5,5,2,2,6,4,2,3,5,18,9,3,4,8,8,9,4,1,4,1,7,3,5,2,7,12,5,3,6,7,10,12,6,7,6,4,8,7,5,3,5,9,9,7,5,21,16,13,8,10,6,7,9,13,11,6,3,9,5,5,7,7,11,3,6,2,18,9,10,10,13,3,9,36,15,3,7,8,15,6,9,7,8,8,37,7,13,5,13,9,8,12,7,8,14,9,29,13,34,22,7,19,12,22,4,7,7,4
3018,4,9,15,15,13,19,11,12,13,2,4,4,5,15,11,13,13,22,9,8,16,8,4,7,5,8,2,5,7,7,5,6,3,6,6,3,1,7,8,6,2,3,8,1,7,6,5,4,4,6,2,3,3,12,6,3,4,4,3,3,13,22,7,2,6,3,2,5,2,3,5,3,4,2,4,1,5,5,2,3,2,3,8,4,7,4,9,6,7,4,4,4,5,9,13,8,9,3,10,5,10,7,4,12,13,6,8,6,7,8,9,8,10,9,7,2,5,5,11,11,11,15,14,9,11,5,10,8,18,8,8,14,1,10,10,10,10,5,7,14,11,9,13,16,7,10,13,7,10,14,18,6,20,6,11,19,4,12,6,4
3019,4,3,10,8,11,17,4,3,5,3,4,1,4,4,5,3,8,11,8,6,5,4,3,4,6,4,3,4,6,4,4,2,1,2,0,2,2,3,4,1,2,1,3,1,3,2,4,5,2,2,2,2,2,0,2,3,2,2,0,2,1,0,0,1,1,2,0,2,5,1,1,3,0,1,3,4,2,4,0,2,2,3,1,3,0,1,1,1,0,0,1,5,4,3,10,3,4,6,7,13,4,4,3,3,3,1,2,3,2,2,4,2,0,6,5,4,8,3,8,9,10,10,15,11,9,7,7,9,2,5,9,6,0,6,14,6,4,3,0,5,1,7,6,6,1,2,4,4,6,4,5,11,7,2,13,2,6,10,3,1
3020,20,24,31,40,59,70,24,34,20,16,17,13,18,31,32,65,48,71,29,26,48,24,17,28,19,19,21,15,15,25,14,12,15,16,14,11,19,11,12,9,15,17,17,16,12,17,8,13,14,18,12,9,11,16,11,12,8,16,6,6,7,11,4,7,11,8,11,9,7,10,8,6,4,6,12,11,13,11,10,8,7,9,5,9,9,12,10,8,11,12,15,17,21,20,40,28,32,41,25,28,24,9,12,8,17,19,18,27,28,26,30,19,22,24,30,6,3,15,27,38,34,36,28,28,31,51,51,34,22,32,38,32,13,24,29,16,33,20,35,33,22,26,19,30,21,40,17,30,24,24,30,38,29,28,15,20,22,16,17,8
3021,28,30,42,48,70,85,25,29,31,18,29,28,29,26,51,38,93,88,39,33,54,30,28,41,29,26,33,46,20,22,30,9,16,20,17,21,22,23,26,22,19,16,22,25,19,21,21,15,20,18,16,25,10,13,12,10,21,20,11,12,10,10,19,11,20,16,26,17,8,8,14,16,7,10,15,13,25,7,17,12,6,14,15,15,13,10,10,10,7,12,15,15,20,36,49,50,35,44,34,31,22,10,11,11,23,31,38,42,34,38,42,35,24,45,47,12,0,23,70,48,42,43,57,39,44,46,60,50,32,40,46,37,17,25,28,17,23,22,16,30,21,18,24,34,15,23,27,14,24,31,25,28,24,31,27,30,16,28,14,8
3022,5,3,3,6,3,6,2,4,3,1,0,1,3,2,1,4,6,4,2,4,2,5,0,4,1,2,3,2,0,1,1,2,0,0,0,0,2,3,2,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0,1,1,1,4,6,0,1,1,0,1,1,3,1,0,0,2,1,2,3,0,2,2,0,1,2,0,0,2,2,1,1,3,1,1,1,5,5,2,3,1,0,2,1,0,2,1,0,1,2,1,5,1,2,1,2,1,0,3,3,0,3,0,0,1,3,0,2,1,3,0
3023,41,78,89,63,108,155,54,66,62,28,43,37,20,56,62,97,133,126,70,82,96,42,44,65,39,46,39,35,37,40,30,16,21,35,46,31,37,31,32,35,43,23,40,32,31,32,27,28,33,42,35,32,23,18,38,20,35,40,16,19,12,16,16,20,14,12,17,17,26,22,15,18,9,28,23,8,25,20,28,18,10,19,19,18,12,25,26,14,23,15,14,15,45,57,51,58,40,59,50,51,29,28,23,33,31,62,67,66,34,69,55,44,45,99,101,18,9,47,131,115,62,99,100,87,60,74,88,67,43,68,67,64,33,39,41,31,34,40,46,37,45,38,55,45,34,49,37,40,34,43,46,50,48,50,62,43,36,32,25,25
3024,12,26,29,19,35,49,20,20,29,10,15,16,25,39,57,46,68,63,35,22,28,18,14,21,13,8,11,6,7,10,14,10,6,12,15,19,17,17,19,17,21,10,12,11,10,22,33,32,8,12,7,11,15,14,15,14,11,25,24,14,9,23,14,6,11,6,4,17,6,6,8,11,8,7,10,12,14,13,17,7,9,6,14,20,8,25,13,5,8,13,8,19,29,58,43,43,32,48,47,37,25,12,21,44,59,89,87,80,67,77,52,35,54,75,81,17,3,48,146,107,63,81,83,92,73,55,111,87,56,69,80,63,39,45,53,44,26,39,47,45,49,35,53,49,31,43,41,44,43,54,51,43,59,56,57,67,51,66,57,16
3025,6,10,10,3,9,9,7,3,8,1,3,7,5,3,9,8,5,18,9,9,12,6,6,4,6,8,3,2,0,3,4,3,1,3,5,3,3,4,6,4,1,3,2,2,3,1,1,2,5,2,3,4,4,6,6,0,1,3,2,3,5,7,3,2,3,4,0,7,1,7,2,3,1,2,1,2,3,4,5,1,1,7,1,2,3,3,0,3,3,4,4,3,4,8,6,9,2,3,9,6,5,5,4,5,3,6,5,7,7,10,8,7,5,8,11,2,1,4,18,12,5,12,26,7,17,3,13,5,20,13,18,9,13,5,4,6,36,13,26,4,4,22,29,23,7,12,8,5,36,54,17,25,14,19,23,18,9,4,5,4
3026,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,3,2,0,0,1,0,1,0,0,0,0,0,1,0,2,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,2,0,1,3,2,0,2,0,4,1,2,3,0,4,7,17,10,15,11,8,11,4,8,7,7,6,12,10,12,13,14,13,11,9,6,11,9,6,2,11,22,28,18,12,19,13,12,16,17,18,9,17,10,42,6,4,7,4,3,11,8,4,11,7,7,20,2,10,9,4,8,7,8,10,8,5,13,8,4,6,4,1
3027,2,4,5,9,11,27,2,10,9,1,5,6,6,4,8,6,14,24,9,8,9,3,3,12,3,4,3,2,2,4,4,2,2,7,4,7,4,3,10,1,7,3,3,6,7,4,6,4,1,6,6,2,3,3,4,0,1,4,3,4,7,3,3,6,3,5,3,4,2,2,4,4,1,6,3,4,5,3,4,5,1,3,6,4,1,2,1,4,3,3,4,2,14,16,10,11,13,17,11,14,6,7,3,6,9,16,14,16,11,20,13,6,12,11,14,4,0,18,29,13,17,13,23,17,3,15,11,15,12,11,16,10,5,10,10,12,6,3,5,7,6,5,11,11,3,9,2,4,7,9,11,8,10,7,15,4,3,11,5,5
3028,25,23,37,30,28,54,27,35,20,12,20,16,13,23,37,43,61,56,28,26,29,12,18,24,17,15,19,16,16,9,15,5,13,6,14,8,15,16,13,8,7,12,12,12,20,14,8,13,15,13,5,17,13,7,9,15,8,6,6,10,13,20,10,6,7,5,8,7,4,8,13,7,5,5,10,7,10,10,8,2,4,15,12,15,10,14,11,12,4,7,8,7,11,21,24,20,23,22,22,14,11,5,10,11,13,21,17,16,9,18,32,12,15,19,22,4,0,10,31,33,33,32,27,19,24,25,39,22,20,21,27,24,13,11,16,16,13,15,15,15,20,14,15,20,11,24,14,17,20,14,21,16,17,10,16,20,15,21,16,7
3029,53,94,139,104,134,240,88,80,106,41,58,56,72,150,162,176,221,234,105,113,157,102,63,104,61,64,53,61,51,41,47,28,34,56,67,72,65,72,56,44,32,66,66,51,76,90,60,57,49,67,57,46,57,60,77,59,57,95,65,50,34,46,54,40,45,28,22,45,48,59,23,34,38,56,59,48,64,51,52,45,52,67,53,61,64,59,69,50,61,67,60,88,174,267,230,179,157,210,218,171,106,53,67,148,196,313,372,299,270,262,199,149,181,196,242,56,9,169,421,347,256,219,332,275,250,303,345,293,231,308,292,262,107,161,184,153,121,147,176,169,188,147,176,176,127,156,131,109,178,194,170,201,237,218,233,248,151,187,159,79
3030,84,81,115,104,142,189,89,77,113,41,47,43,51,104,98,148,166,189,91,89,140,47,59,71,63,62,49,50,48,36,41,37,28,42,62,62,79,57,54,47,64,59,59,62,53,86,50,59,59,60,52,48,46,31,69,52,51,93,66,50,38,42,44,30,40,30,26,42,26,34,56,42,39,34,29,29,53,30,89,37,38,35,47,52,46,47,56,48,41,31,32,37,78,119,139,137,109,147,120,119,81,58,57,81,126,161,203,195,182,185,150,117,131,166,191,40,4,109,290,251,187,181,229,177,164,200,231,177,105,163,144,125,66,109,99,88,85,113,122,123,133,99,113,119,76,95,94,90,118,129,112,131,133,126,141,128,107,115,88,40
3031,3,3,2,7,10,16,5,3,4,2,2,1,0,3,4,6,13,16,4,6,15,1,5,6,3,5,2,2,3,3,2,5,3,4,5,4,3,1,4,4,5,4,6,7,7,5,5,6,9,10,6,7,6,6,0,4,5,4,2,1,4,7,3,2,2,5,2,6,1,0,1,2,4,4,2,1,4,2,2,7,2,1,0,8,1,2,2,3,1,3,3,1,3,7,5,6,5,9,8,8,3,4,5,2,2,8,7,5,1,4,7,8,7,1,4,0,1,5,5,11,9,6,7,5,3,6,10,4,2,4,12,10,5,9,10,4,7,6,3,6,5,7,8,3,7,9,8,15,6,4,6,8,4,10,7,8,8,7,5,2
3032,17,18,18,11,39,31,7,9,19,2,10,6,7,5,13,15,12,29,19,12,21,10,7,6,11,6,4,8,7,7,4,6,4,11,7,6,3,8,5,4,5,7,11,9,8,9,7,7,5,9,13,4,9,4,2,8,6,2,9,4,2,9,7,4,4,10,11,10,7,10,8,5,5,11,4,5,5,6,7,8,7,9,5,5,6,5,8,5,2,7,5,3,13,8,19,24,10,19,16,10,11,6,14,9,11,6,12,10,7,15,17,14,12,17,11,1,2,4,15,12,12,13,19,14,15,19,15,12,9,14,21,10,5,12,13,10,6,5,12,12,6,14,21,9,15,14,17,6,8,19,15,20,11,11,7,20,11,12,11,1
3033,6,8,10,9,15,21,4,7,5,6,4,3,5,8,10,9,13,21,11,11,13,7,7,6,5,6,9,6,6,1,4,10,3,13,4,3,10,15,9,4,5,8,8,5,5,9,6,4,2,4,12,7,5,12,5,7,5,3,5,2,4,3,3,1,6,12,10,7,1,5,5,8,2,4,5,4,6,3,3,4,2,3,3,3,3,2,1,7,2,2,4,5,5,5,9,3,14,2,10,5,6,3,4,4,3,7,4,8,4,12,6,7,4,14,13,4,1,8,8,11,5,9,6,10,9,9,8,8,8,8,8,6,2,10,7,7,5,1,9,12,7,8,12,3,6,12,2,6,6,7,12,17,11,7,7,9,4,2,5,4
